date,description,category, amount 
4/2/2016,Yusuf welding rafters' kitchen ,Mesanory work," INR 15,000 "
4/2/2016,mattresses ,Interiors," INR 87,000 "
4/10/2016,Woode Polish yadav,wood work," INR 15,500 "
4/10/2016,painting kadir,painting," INR 12,000 "
4/10/2016,furniture outdoor seats and chair,Interiors," INR 40,000 "
4/10/2016,furniture sofa covers,Interiors," INR 28,000 "
4/10/2016,wooden flooring Niranjan ,wood work," INR 87,000 "
4/18/2016,blinds,Interiors," INR 21,000 "
4/20/2016,bathroom tiles,bathrooms," INR 43,000 "
4/19/2016,sofa making,Interiors," INR 5,000 "
4/21/2016,painting  material,painting," INR 68,000 "
4/16/2016,wooden flooring kiran,wood work," INR 30,000 "
4/28/2016,bathroom labour contract,bathrooms," INR 20,000 "
4/28/2016,bathroom tiles laying ,bathrooms," INR 9,000 "
5/1/2016,sofa making,Interiors," INR 9,000 "
5/7/2016,bathroom accessories,bathrooms," INR 120,000 "
5/8/2016,accessories ,Interiors," INR 45,000 "
5/12/2016,accessories ,bathrooms," INR 53,500 "
6/2/2016,bathroom labour contract,bathrooms," INR 80,000 "
6/2/2016,bathroom tiles laying ,bathrooms," INR 6,000 "
6/2/2016,bathroom accessories,bathrooms," INR 120,000 "
6/16/2016,Accessories,Interiors," INR 206,800 "
6/21/2016,shoerack,wood work," INR 17,000 "
7/28/2016,Glass Priyanka,Interiro ," INR 6,100 "
7/28/2016,Water pressure equip,Plumbing," INR 15,000 "
