room_id,host_id,room_type,borough,neighborhood,reviews,overall_satisfaction,accommodates,bedrooms,price,minstay,latitude,longitude,last_modified
10916280,32187033,Entire home/apt,,24,0,,4,1,68,1,56.165753,10.22407,01:13.4
6787550,24792099,Entire home/apt,,24,1,,3,1,75,1,56.16478,10.226044,45:39.5
13647324,29336364,Entire home/apt,,24,0,,2,1,53,2,56.164364,10.22359,50:36.3
13158577,73474571,Entire home/apt,,24,0,,3,1,113,1,56.164726,10.228162,20:13.5
13273448,68658254,Entire home/apt,,24,0,,4,1,75,1,56.165464,10.229729,39:51.8
7001508,23210584,Entire home/apt,,24,0,,3,2,91,1,56.165358,10.22502,17:16.7
12122200,34818211,Entire home/apt,,24,0,,3,1,55,2,56.170541,10.215392,02:29.7
14010581,32942687,Entire home/apt,,24,0,,2,1,76,1,56.174257,10.217821,19:29.9
13181299,43318106,Entire home/apt,,24,3,4.5,3,1,60,2,56.169929,10.218637,41:22.7
5295864,27428060,Entire home/apt,,4,0,,2,1,59,1,56.172218,10.201014,26:00.6
13902699,47164815,Entire home/apt,,24,0,,2,1,61,4,56.170182,10.215464,05:09.9
13255498,27544196,Entire home/apt,,4,0,,2,1,68,1,56.1733,10.20205,33:29.0
1960613,10131181,Entire home/apt,,4,0,,2,2,39,6,56.174133,10.209626,05:18.6
11162994,16771959,Entire home/apt,,24,0,,2,2,71,1,56.172591,10.215362,41:04.0
15022189,7269121,Entire home/apt,,24,1,,4,2,68,2,56.170808,10.218928,24:29.8
13216315,55905165,Entire home/apt,,4,0,,2,1,49,1,56.174894,10.214545,58:48.5
13431126,940862,Entire home/apt,,4,0,,2,1,42,2,56.174997,10.211211,33:26.4
13050673,72238234,Entire home/apt,,11,9,4,2,2,45,1,56.170783,10.130672,06:49.2
5772047,7736767,Entire home/apt,,4,10,4.5,2,1,68,2,56.176653,10.210936,22:49.8
6555633,2663428,Entire home/apt,,4,5,5,4,2,94,2,56.176467,10.209891,55:46.4
1295964,7046831,Entire home/apt,,4,9,5,2,1,61,1,56.176035,10.203682,17:05.2
8920505,46648584,Entire home/apt,,4,4,5,4,2,60,5,56.176017,10.200155,07:07.3
4590509,6489209,Entire home/apt,,11,12,5,6,3,148,2,56.17747,10.122418,48:26.6
466827,2318314,Entire home/apt,,3,24,5,5,3,147,2,56.176233,10.175396,27:28.5
60108,281902,Entire home/apt,,3,12,5,6,3,150,3,56.176466,10.175071,11:52.5
3584414,18056472,Entire home/apt,,3,5,5,6,2,57,4,56.178562,10.173954,35:40.4
2643066,11019995,Entire home/apt,,4,3,5,6,4,105,4,56.176124,10.213235,36:12.9
10653365,55014553,Entire home/apt,,4,2,,2,1,47,1,56.175807,10.204287,38:34.9
1506443,8017594,Entire home/apt,,3,1,,8,2,190,1,56.176924,10.173634,33:40.9
3281060,12174850,Entire home/apt,,4,0,,4,3,90,7,56.176011,10.181016,34:55.2
13365062,38314567,Entire home/apt,,4,7,4.5,2,1,37,1,56.175838,10.197265,03:46.2
7926270,41796314,Entire home/apt,,4,2,,1,1,28,1,56.176775,10.210656,46:40.6
6125698,31781128,Entire home/apt,,3,0,,5,3,121,5,56.177693,10.158032,03:04.1
13073817,72482292,Entire home/apt,,3,0,,5,3,190,3,56.176355,10.15873,18:21.0
14895558,93479273,Entire home/apt,,4,4,5,2,1,39,1,56.176052,10.198777,01:29.6
14249769,33800574,Entire home/apt,,4,0,,5,2,108,1,56.17591,10.204706,22:07.7
14234192,61657771,Entire home/apt,,3,0,,3,1,53,2,56.17716,10.165446,31:21.7
15627242,25312022,Entire home/apt,,4,0,,2,1,203,1,56.177728,10.197598,36:42.4
5741469,29778665,Entire home/apt,,4,0,,2,1,53,5,56.177225,10.203599,39:12.1
9060997,42987929,Entire home/apt,,11,0,,5,3,73,3,56.188088,10.104034,11:54.8
8141769,42987929,Entire home/apt,,11,1,,6,2,66,,56.188304,10.104223,57:51.0
5636671,29213054,Entire home/apt,,13,4,5,5,4,91,5,56.23937,10.194312,26:35.8
6818669,35704705,Entire home/apt,,13,0,,7,5,106,7,56.237731,10.200111,18:53.9
13314257,75254526,Entire home/apt,,12,0,,7,4,79,4,56.239013,10.139448,21:52.5
9971354,51238861,Entire home/apt,,13,0,,4,3,91,5,56.240735,10.196345,07:03.6
14224551,54120303,Entire home/apt,,19,1,,2,2,123,3,56.254244,10.154939,27:34.2
9047315,47206988,Entire home/apt,,3,1,,5,3,129,3,56.178612,10.175814,58:54.8
13838120,81640670,Entire home/apt,,4,2,,6,3,144,1,56.179142,10.17703,58:09.7
13425728,76538619,Entire home/apt,,11,0,,4,3,59,1,56.178667,10.112015,53:06.4
7257573,37997492,Entire home/apt,,11,10,4.5,4,2,121,1,56.189538,10.159281,37:22.2
1364246,7351851,Entire home/apt,,11,19,5,6,2,76,2,56.190648,10.156459,33:31.1
6779890,35490077,Entire home/apt,,12,0,,2,0,30,2,56.222074,10.161693,55:57.8
15428917,96051239,Entire home/apt,,11,0,,3,1,45,1,56.187253,10.128355,50:21.6
6296774,32480025,Entire home/apt,,4,5,5,2,1,75,2,56.179861,10.201749,22:28.3
10779013,55761888,Entire home/apt,,4,3,5,3,1,65,1,56.182386,10.195302,48:13.4
11635775,61669278,Entire home/apt,,5,9,5,4,2,75,2,56.195189,10.254545,08:33.8
12463135,67443905,Entire home/apt,,4,1,,2,1,45,2,56.19009,10.196667,45:06.4
3351645,15638052,Entire home/apt,,5,5,4.5,2,1,45,4,56.19742,10.19771,13:48.7
13482385,77209240,Entire home/apt,,5,8,4.5,4,2,64,2,56.194966,10.219938,28:16.4
6573161,34379649,Entire home/apt,,5,1,,4,3,75,4,56.19753,10.207397,06:57.0
3400634,17151425,Entire home/apt,,5,3,4.5,2,1,45,7,56.207711,10.237768,27:33.1
14242307,80897672,Entire home/apt,,5,1,,4,3,75,1,56.205886,10.208189,33:25.0
3054800,15551716,Entire home/apt,,4,6,4.5,6,3,113,1,56.190297,10.195582,21:52.1
3794645,17049385,Entire home/apt,,4,2,,4,2,60,2,56.178975,10.202844,24:11.2
3956898,20508599,Entire home/apt,,5,11,5,6,4,166,2,56.197103,10.237728,35:55.8
11523428,39343961,Entire home/apt,,4,2,,6,1,61,3,56.180985,10.20177,00:03.3
9093076,47410797,Entire home/apt,,4,4,5,3,1,52,3,56.196656,10.192135,32:19.1
693308,3546477,Entire home/apt,,5,0,,4,2,140,4,56.197215,10.25071,36:28.0
4850271,22810889,Entire home/apt,,5,3,5,7,6,121,1,56.209281,10.240542,09:48.5
5753005,22001581,Entire home/apt,,13,1,,8,4,113,4,56.235344,10.194079,50:33.7
7129308,37340944,Entire home/apt,,13,0,,5,4,151,1,56.236303,10.192355,09:05.7
13105215,34193569,Entire home/apt,,5,4,4.5,12,5,332,3,56.191008,10.23741,36:36.6
1206014,6587954,Entire home/apt,,5,2,,6,3,167,3,56.195366,10.249236,55:31.2
8579165,21133581,Entire home/apt,,4,0,,3,3,76,1,56.179694,10.198523,35:31.2
14409100,88619863,Entire home/apt,,4,0,,6,2,73,1,56.199159,10.185947,05:35.2
7174414,37340944,Entire home/apt,,13,0,,5,4,121,1,56.23589,10.193651,34:58.7
7217218,37784541,Entire home/apt,,5,0,,6,2,45,1,56.186636,10.217514,22:48.7
7080778,17748704,Entire home/apt,,5,1,,5,1,41,2,56.192651,10.198553,37:17.0
11214562,58422470,Entire home/apt,,13,0,,5,3,112,7,56.233937,10.195221,28:23.2
6790587,19527243,Entire home/apt,,4,0,,2,2,61,2,56.190162,10.186948,26:53.2
13654666,79309912,Entire home/apt,,5,0,,6,3,143,6,56.191848,10.240044,05:57.6
